Country,Year,Household_Size,Real_GDP_Per_Capita,Train_Transport_Pct,Bus_Transport_Pct,Urban_Population_Pct,All_Transport_Pct,Fuel_Price_Index,Car_Stock,Population,EPS_Index,Surface_Area_km2,Railway_1890,Railway_1895,Railway_1900,Railway_1905,Railway_1910,Size_Dummy
Czechia,2005,2.5,16180.0,7.3,17.2,73.602,24.5,95.47916666666667,3959000.0,10198855,2.4166667,78871.012617,,,,,,0
Czechia,2006,2.5,17200.0,7.5,17.3,73.533,24.8,98.42083333333333,4109000.0,10223577,2.7222223,78871.012617,,,,,,0
Czechia,2007,2.5,18050.0,7.3,17.0,73.463,24.3,98.18333333333334,4280000.0,10254233,2.6388888,78871.012617,,,,,,0
Czechia,2008,2.5,18330.0,7.1,16.9,73.394,24.0,102.03750000000001,4423000.0,10343422,3.0833333,78871.012617,,,,,,0
Czechia,2009,2.5,17350.0,6.9,16.0,73.324,22.9,90.25,4435000.0,10425783,3.1944444,78871.012617,,,,,,0
Czechia,2010,2.5,17770.0,7.6,18.9,73.255,26.5,105.325,4496000.0,10462088,3.1111112,78871.012617,,,,,,0
Czechia,2011,2.5,18120.0,7.7,17.0,73.185,24.7,115.57083333333333,4582000.0,10486731,3.1111112,78871.012617,,,,,,0
Czechia,2012,2.4,17970.0,8.4,16.8,73.197,25.2,122.43333333333334,4706000.0,10505445,3.25,78871.012617,,,,,,0
Czechia,2013,2.4,17970.0,8.6,17.0,73.29,25.6,120.8625,4729185.0,10516125,3.0,78871.012617,,,,,,0
Czechia,2014,2.4,18370.0,8.4,18.8,73.384,27.2,121.06666666666666,4833386.0,10512419,2.5,78871.012617,,,,,,0
Czechia,2015,2.4,19270.0,8.7,16.3,73.477,25.0,104.96666666666665,5115316.0,10538275,2.5555556,78871.012617,,,,,,0
Czechia,2016,2.4,19760.0,9.1,15.6,73.57,24.7,95.96249999999999,5307808.0,10553843,2.7222223,78871.012617,,,,,,0
Czechia,2017,2.4,20760.0,9.5,15.8,73.675,25.3,102.12083333333334,5538222.0,10578820,2.7222223,78871.012617,,,,,,0
Czechia,2018,2.4,21320.0,9.8,15.5,73.792,25.3,108.425,5747913.0,10610055,2.8888888,78871.012617,,,,,,0
Czechia,2019,2.3,22050.0,10.0,14.9,73.921,25.0,107.9375,5924995.0,10649800,3.1111112,78871.012617,,,,,,0
Czechia,2020,2.3,20980.0,7.8,10.5,74.061,18.3,95.53333333333335,6049255.0,10693939,2.9444444,78871.012617,,,,,,0
Czechia,2021,2.3,21830.0,6.5,8.5,74.214,15.0,109.54166666666667,6088730.0,10494836,2.9444444,78871.012617,,,,,,0
Czechia,2022,2.3,21910.0,8.4,10.5,74.377,18.8,143.6625,6305934.0,10516707,2.9444444,78871.012617,,,,,,0
Czechia,2023,2.3,21680.0,9.0,10.5,74.552,19.5,126.28750000000001,6512774.0,10827529,2.9444444,78871.012617,,,,,,0
Czechia,2024,2.3,21910.0,9.0,10.5,74.738,19.5,125.86666666666667,6638172.0,10900555,2.9444444,78871.012617,,,,,,0
Poland,2003,2.8,7440.0,8.8,13.5,61.676,22.4,122.32222222222224,11243800.0,38218531,1.2777778,312679.0,,,,,,1
Poland,2004,2.8,7820.0,8.5,23.6,61.564,32.1,137.25555555555556,11975000.0,38190608,1.3333334,312679.0,,,,,,1
Poland,2005,2.8,8080.0,8.2,22.4,61.452,30.6,151.93055555555554,12339000.0,38173835,2.0833333,312679.0,,,,,,1
Poland,2006,2.8,8590.0,6.9,10.6,61.341,17.5,154.2,13384000.0,38157055,2.3611112,312679.0,,,,,,1
Poland,2007,2.8,9170.0,9.3,13.1,61.229,22.4,163.96666666666667,14589000.0,38125479,2.25,312679.0,,,,,,1
Poland,2008,2.8,9570.0,6.2,8.4,61.116,14.5,171.30833333333334,16080000.0,38115641,2.5833333,312679.0,,,,,,1
Poland,2009,2.8,9810.0,5.2,12.6,61.004,17.9,159.27222222222224,16495000.0,38135876,2.7777777,312679.0,,,,,,1
Poland,2010,2.8,10150.0,7.1,16.8,60.892,23.9,178.00833333333333,17240000.0,38022869,2.9444444,312679.0,,,,,,1
Poland,2011,2.8,10680.0,6.9,15.7,60.78,22.6,202.11944444444444,18125000.0,38062718,3.0,312679.0,,,,,,1
Poland,2012,2.8,10840.0,7.2,16.0,60.654,23.2,223.8,18744000.0,38063792,2.7222223,312679.0,,,,,,1
Poland,2013,2.8,10930.0,6.7,15.2,60.529,22.0,215.08055555555555,19389446.0,38062535,2.8888888,312679.0,,,,,,1
